query,std reasoner,std nodes explored,std min depth,success,time
1,std,5,3,True,0.0011501919999998833
2,std,3,2,True,0.0005741229999998154
3,std,4,3,True,0.0008355560000001816
4,std,4,3,True,0.0003691029999997042
5,std,3,2,True,0.0003873570000001436
6,std,3,2,True,0.00010313200000044986
7,std,6,4,True,0.0012689180000000633
8,std,2,1,True,0.0008978940000003988
9,std,7,6,True,0.0015041489999996216
10,std,3,2,True,0.0003771299999995037
11,std,5,4,True,0.00021269299999993052
12,std,2,1,True,0.0004511149999997244
13,std,1497,8,True,0.3462017890000002
14,std,4,3,True,0.0004961209999994054
15,std,2,1,True,0.00032020100000007545
16,std,2,1,True,4.7538000000457714e-05
17,std,2,1,True,4.215799999940373e-05
18,std,35,5,True,0.002204997999999847
19,std,2,1,True,0.00041835499999987036
20,std,19,13,True,0.0011652089999998338
21,std,8,3,True,0.0004062719999993192
22,std,99,8,True,0.004407522000000164
23,std,4,3,True,0.0007682649999996016
24,std,5,3,True,0.0006139200000001566
25,std,4,3,True,0.0004670940000002233
26,std,3,2,True,0.013037658000000008
27,std,3,2,True,0.00048576200000027825
28,std,15,5,True,0.0005558600000004077
29,std,8,6,True,0.0022367750000000797
30,std,2,1,True,0.00044454299999951985
31,std,4,3,True,0.0013226319999999347
32,std,4,3,True,0.0003403639999994823
33,std,3,2,True,0.0005973120000000165
34,std,5,4,True,0.000394299000000764
35,std,12,11,True,0.0011164570000001817
36,std,30,11,True,0.0013564959999996518
37,std,9,7,True,0.0012792340000000735
38,std,5,3,True,8.855299999943611e-05
39,std,5,4,True,0.0003856339999996905
40,std,39,9,True,0.0018864460000003191
41,std,4,3,True,0.0004935689999996384
42,std,4,3,True,0.0003966650000002403
43,std,5,3,True,0.00025148699999988366
44,std,13,9,True,0.0021159120000007192
45,std,2,1,True,0.0002906060000000821
46,std,205,9,True,0.01100599199999941
47,std,2,1,True,0.00015022500000050343
48,std,4,3,True,7.277599999966355e-05
49,std,3,2,True,0.00038628400000018104
50,std,2,1,True,0.000282755000000634
51,std,12,3,True,0.0016885069999998947
52,std,141,11,True,0.006258260000000071
53,std,3,2,True,0.00046582099999969984
54,std,4,3,True,0.0006519539999993995
55,std,384,11,True,0.012604320000000335
56,std,7,3,True,0.0007137820000000517
57,std,5,4,True,0.000558708000000685
58,std,9,5,True,0.0012925719999996588
59,std,14,11,True,0.0005668789999999646
60,std,4,3,True,0.00047712599999982785
61,std,2,1,True,0.0004186510000003807
62,std,14,4,True,0.0045018749999998775
63,std,7,2,True,0.00039944799999958036
64,std,3,2,True,0.00039306999999944026
65,std,5,4,True,0.0001683600000008667
66,std,2,1,True,0.0004305290000008455
67,std,5,4,True,0.00019767299999973176
68,std,34,3,True,0.005461048999999996
69,std,4,3,True,0.0003518339999999398
70,std,5,4,True,0.00016940300000012343
71,std,5,4,True,0.0001318220000001702
72,std,5,4,True,0.0004050930000003561
73,std,5,4,True,0.0001483390000007745
74,std,8,2,True,0.001049462000000112
75,std,4,3,True,0.0005725710000001882
76,std,5,3,True,0.0005427139999998332
77,std,32,4,True,0.0011375220000005015
78,std,6,5,True,0.0002817840000002292
79,std,4,3,True,0.00043836200000058057
80,std,33,9,True,0.0034383939999997892
81,std,2,1,True,0.0004393750000000196
82,std,4,3,True,0.00035573799999966127
83,std,4,3,True,0.00033673500000031
84,std,15,3,True,0.0010380290000000514
85,std,4,3,True,0.0004896190000005518
86,std,5,4,True,0.0009055549999992252
87,std,3,2,True,0.000558733000000089
88,std,30,5,True,0.0037776590000007104
89,std,2,1,True,0.00013211899999987509
90,std,4,3,True,0.00040879700000040486
91,std,4,3,True,0.0004048919999997125
92,std,5,4,True,0.0007034439999999975
93,std,4,3,True,0.0004288149999993607
94,std,5,4,True,0.0001366869999994691
95,std,3,2,True,0.0003420990000000401
96,std,5,3,True,0.0006447789999999287
97,std,3,2,True,0.00038255800000008833
98,std,92,10,True,0.012446122999999254
99,std,3,2,True,0.0004947689999994509
100,std,4,3,True,7.663799999946264e-05
