query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.3893515369999996
2,ming,4,3,True,0.035167037999999096
3,ming,3,2,True,0.022316392000000462
4,ming,3,2,True,0.01021731600000031
5,ming,154,5,True,0.38622486799999933
6,ming,2,1,True,0.029745996999999136
7,ming,2,1,True,0.0028736270000013775
8,ming,3,2,True,0.006517372999999438
9,ming,4,3,True,0.014621724999999586
10,ming,2,1,True,0.031053608000000565
11,ming,5,4,True,0.04038265599999846
12,ming,3,2,True,0.006432582000000409
13,ming,2,1,True,0.031017895999999823
14,ming,3,2,True,0.006388571000000454
15,ming,5167,5,True,5.563070093999999
16,ming,2,1,True,0.030869689999999395
17,ming,3,2,True,0.005109595999996941
18,ming,883,10,True,3.795842736000001
19,ming,4,3,True,0.006233982000001248
20,ming,160,6,True,2.043892737
21,ming,2,1,True,0.0033915329999985033
22,ming,3,2,True,0.004866113999998589
23,ming,4,3,True,0.007383493999999047
24,ming,2,1,True,0.030004529999999363
25,ming,6,5,True,0.08877412200000023
26,ming,1545,8,True,3.081543228000001
27,ming,3,2,True,0.005238599000001898
28,ming,9,8,True,0.052024126000002724
29,ming,21468,7,True,8.583376937999997
30,ming,10,9,True,0.09306982900000094
31,ming,7,6,True,0.03377700900000491
32,ming,3,2,True,0.0556212159999987
33,ming,2,1,True,8.901900000068963e-05
34,ming,39593,0,False,22.945167405999996
35,ming,10,9,True,0.178532048000001
36,ming,3,2,True,0.006226664999999798
37,ming,2,1,True,0.03209661600000402
38,ming,2,1,True,0.004474281000000246
39,ming,5,4,True,0.07430665300000072
40,ming,8,7,True,0.13818319900000375
41,ming,6,4,True,0.07191367200000087
42,ming,2,1,True,0.0025321979999972655
43,ming,3,2,True,0.006352698000000601
44,ming,2759,2,True,1.7747813679999993
45,ming,4,3,True,0.0057487110000025154
46,ming,2,1,True,0.030349708999999336
47,ming,5,2,True,0.008051639999997917
48,ming,4,3,True,0.02274000500000284
49,ming,3,2,True,0.005182752000003177
50,ming,3,2,True,0.005142731999995931
51,ming,2,1,True,0.03258281600000146
52,ming,1244,4,True,0.20856637199999994
53,ming,3,2,True,0.0052944929999938495
54,ming,3,2,True,0.009180333000003316
55,ming,4,3,True,0.03501494300000019
56,ming,4,3,True,0.017186834000000317
57,ming,2,1,True,0.005397340999998335
58,ming,3,2,True,0.00551839599999937
59,ming,3,2,True,0.0216892030000011
60,ming,161,3,True,0.1619543799999974
61,ming,14,2,True,0.026973976999997262
62,ming,2,1,True,0.03148097599999744
63,ming,2,1,True,0.029900793999999564
64,ming,32907,5,True,9.238409607999998
65,ming,3,2,True,0.005641977999999881
66,ming,2,1,True,0.004234905000004119
67,ming,78293,5,True,24.182376336999994
68,ming,3,2,True,0.010622173000001567
69,ming,3,2,True,0.007086516000001097
70,ming,3,2,True,0.005224458999990134
71,ming,3,2,True,0.0038144020000032697
72,ming,6295,6,True,4.218045453999991
73,ming,2,1,True,0.007183526999995138
74,ming,2,1,True,0.030921656999993274
75,ming,82,6,True,0.8517264080000047
76,ming,7004,5,True,6.543325042000006
77,ming,207,2,True,0.26457474899999056
78,ming,8,7,True,0.26976338900000485
79,ming,2,1,True,0.004334573999997815
80,ming,2,1,True,0.03019423599999982
81,ming,3,2,True,0.029530997999998476
82,ming,60,3,True,1.5750402279999918
83,ming,360,9,True,0.9467668210000113
84,ming,2,1,True,0.008625491000003649
85,ming,4,3,True,0.051811035999989485
86,ming,7,6,True,0.1392102479999977
87,ming,2,1,True,0.035981963000011774
88,ming,3,2,True,0.025552623000010044
89,ming,4,3,True,0.008298439000000712
90,ming,2,1,True,0.03369602700000485
91,ming,5,3,True,0.030217798000009566
92,ming,3,2,True,0.007715930000003368
93,ming,3,2,True,0.0039240229999961684
94,ming,144,13,True,0.5131546730000025
95,ming,20,4,True,0.8405761659999911
96,ming,2,1,True,0.030766283999994926
97,ming,4,3,True,0.023333714999992594
98,ming,5,4,True,0.02334806999999728
99,ming,4,3,True,0.01328256700000452
100,ming,4,2,True,0.000457589999996344
