query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,2,True,0.0013482339999999482
2,std,5,3,True,0.0017427320000003022
3,std,1000000,0,False,74.773498995
4,std,3,2,True,0.0009566349999943213
5,std,297,5,True,0.045813078000009
6,std,2,1,True,0.0006482439999899725
7,std,2,1,True,0.0005212029999910328
8,std,3,2,True,0.0010505449999982375
9,std,4,3,True,0.0010795369999954119
10,std,2,1,True,0.0006358280000000605
11,std,5,4,True,0.0014712089999875388
12,std,3,2,True,0.0009225339999971993
13,std,2,1,True,0.0006445719999987887
14,std,3,2,True,0.0008193229999875484
15,std,1000000,0,False,64.041029118
16,std,2,1,True,0.0007551710000086587
17,std,3,2,True,0.0009771560000046975
18,std,1000000,0,False,59.104005288999986
19,std,4,3,True,0.001574688999994578
20,std,31,6,True,0.010807756000019708
21,std,2,1,True,0.0005560599999796523
22,std,3,2,True,0.0007795500000042921
23,std,5,3,True,0.0019423119999828486
24,std,2,1,True,0.0006366469999932178
25,std,1000000,0,False,62.32317322100002
26,std,1000000,0,False,77.15738210500001
27,std,1000000,0,False,60.13281816099999
28,std,1000000,0,False,92.545388543
29,std,8,7,True,0.0031230310000296413
30,std,1000000,0,False,71.51384388299999
31,std,8,6,True,0.0034387250000236236
32,std,3,2,True,0.0010598040000786568
33,std,2,1,True,0.0006431809999867255
34,std,1000000,0,False,60.18101612999999
35,std,10,9,True,0.003956632000040372
36,std,3,2,True,0.0008439210000688036
37,std,2,1,True,0.0007003179999856002
38,std,2,1,True,0.0005576180000161912
39,std,1000000,0,False,64.11213656200005
40,std,1000000,0,False,62.18772711500003
41,std,5,4,True,0.0018827300000339164
42,std,2,1,True,0.0005912210000360574
43,std,3,2,True,0.0008415229999627627
44,std,4,2,True,0.0014221679999764092
45,std,5,3,True,0.001930022999999892
46,std,2,1,True,0.0006260349999820392
47,std,3,2,True,0.0008192410000447126
48,std,1000000,0,False,76.661235767
49,std,3,2,True,0.0011144189999185983
50,std,1000000,0,False,78.929987245
51,std,2,1,True,0.0007792870000002949
52,std,8,4,True,0.002925537000010081
53,std,1000000,0,False,78.45616082900005
54,std,1000000,0,False,72.57889463900005
55,std,5,3,True,0.0027043869999943126
56,std,4,3,True,0.0014151349998883234
57,std,2,1,True,0.0007141809999211546
58,std,3,2,True,0.0009254539997982647
59,std,1000000,0,False,59.30258909100007
60,std,4,3,True,0.0018342549999488256
61,std,4,2,True,0.001186458000120183
62,std,2,1,True,0.0009033970000018599
63,std,2,1,True,0.0009258079999199254
64,std,1000000,0,False,68.92341021700008
65,std,4,2,True,0.001714802999913445
66,std,2,1,True,0.0005326779998995335
67,std,1000000,0,False,70.02769347200001
68,std,4,3,True,0.0015391409999665484
69,std,3,2,True,0.0009997309998652781
70,std,3,2,True,0.0008346269999037759
71,std,3,2,True,0.0009029440000176692
72,std,8,6,True,0.0032115369999701215
73,std,2,1,True,0.0005180969999400986
74,std,2,1,True,0.0006943949999822507
75,std,1000000,0,False,74.56481590499993
76,std,38046,5,True,2.084172510000144
77,std,18,2,True,0.004455281999980798
78,std,1000000,0,False,67.51563188099999
79,std,2,1,True,0.000525463000030868
80,std,2,1,True,0.0007503340000312164
81,std,3,2,True,0.0012616359999810811
82,std,4,3,True,0.0012860889999046776
83,std,281903,9,True,22.101769674000025
84,std,2,1,True,0.0006568520000200806
85,std,21,3,True,0.006784771000184264
86,std,39,6,True,0.015983853000079762
87,std,2,1,True,0.0016854269999839744
88,std,1000000,0,False,59.11313768800005
89,std,4,3,True,0.0014487429998553125
90,std,2,1,True,0.0006856259999494796
91,std,1000000,0,False,58.60515593100013
92,std,3,2,True,0.0009457659998588497
93,std,3,2,True,0.000939874000096097
94,std,1000000,0,False,75.49125376799998
95,std,1000000,0,False,74.76258423500008
96,std,2,1,True,0.0007524759998887021
97,std,4,3,True,0.0013258320000204549
98,std,5,4,True,0.001696131000016976
99,std,5,3,True,0.0016131989998484642
100,std,6,2,True,0.0019243520000600256
