query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,2,True,0.001402874000000054
2,std,5,3,True,0.0018271439999999473
3,std,1000000,0,False,74.343368818
4,std,3,2,True,0.0009721899999988182
5,std,297,5,True,0.044413917999989394
6,std,2,1,True,0.0005706749999916383
7,std,2,1,True,0.0004857189999967204
8,std,3,2,True,0.001004194000003622
9,std,4,3,True,0.0010080100000067205
10,std,2,1,True,0.0005788599999902999
11,std,5,4,True,0.0013141529999955992
12,std,3,2,True,0.0008311560000038298
13,std,2,1,True,0.0006146040000061248
14,std,3,2,True,0.0007728070000041498
15,std,1000000,0,False,65.08008508
16,std,2,1,True,0.0007380619999821647
17,std,3,2,True,0.001008734000009781
18,std,1000000,0,False,59.44187868199998
19,std,4,3,True,0.0016263439999875118
20,std,31,6,True,0.010850390000001653
21,std,2,1,True,0.000560960000001387
22,std,3,2,True,0.0007928370000058749
23,std,5,3,True,0.0019569219999766574
24,std,2,1,True,0.0006256019999852924
25,std,1000000,0,False,62.73829931200004
26,std,1000000,0,False,78.342514758
27,std,1000000,0,False,60.390054217
28,std,1000000,0,False,92.81552470700001
29,std,8,7,True,0.003172676000019692
30,std,1000000,0,False,72.36486479300004
31,std,8,6,True,0.0034941469999694164
32,std,3,2,True,0.0011416470000540357
33,std,2,1,True,0.0006762979999166419
34,std,1000000,0,False,60.583332458000086
35,std,10,9,True,0.003969839999967917
36,std,3,2,True,0.0008783680000306049
37,std,2,1,True,0.0007306310000103622
38,std,2,1,True,0.0005450539999856119
39,std,1000000,0,False,64.21179010799995
40,std,1000000,0,False,63.42025112099998
41,std,5,4,True,0.001906535999978587
42,std,2,1,True,0.0005946339999809425
43,std,3,2,True,0.0008262439999953131
44,std,4,2,True,0.00135560399996848
45,std,5,3,True,0.001950257999965288
46,std,2,1,True,0.0006328700000040044
47,std,3,2,True,0.0008018379999157332
48,std,1000000,0,False,76.85382367800003
49,std,3,2,True,0.00112114199998814
50,std,1000000,0,False,78.39494465199994
51,std,2,1,True,0.0007520469999917623
52,std,8,4,True,0.0028180269999893426
53,std,1000000,0,False,77.398772087
54,std,1000000,0,False,72.24989062299994
55,std,5,3,True,0.002321933999837711
56,std,4,3,True,0.0013884729999062984
57,std,2,1,True,0.0006688630001008278
58,std,3,2,True,0.0008932309999636345
59,std,1000000,0,False,58.64296083199997
60,std,4,3,True,0.0014766660001441778
61,std,4,2,True,0.001136386000098355
62,std,2,1,True,0.0007327159999022115
63,std,2,1,True,0.0006546340000568307
64,std,1000000,0,False,68.52243700400004
65,std,4,2,True,0.0017376230000536452
66,std,2,1,True,0.000543054999980086
67,std,1000000,0,False,69.70176546800008
68,std,4,3,True,0.001441535000139993
69,std,3,2,True,0.0009365230000639713
70,std,3,2,True,0.0008063380000749021
71,std,3,2,True,0.0008768220000092697
72,std,8,6,True,0.0030607769999733137
73,std,2,1,True,0.0005018429999381624
74,std,2,1,True,0.000659455999993952
75,std,1000000,0,False,73.78407370900004
76,std,38046,5,True,2.058775405999995
77,std,18,2,True,0.00438621500006775
78,std,1000000,0,False,67.36522686500007
79,std,2,1,True,0.0005563310000979982
80,std,2,1,True,0.0007597730000270531
81,std,3,2,True,0.0013267809999888414
82,std,4,3,True,0.0014066850001199782
83,std,281903,9,True,22.011916678000034
84,std,2,1,True,0.0006391759998223279
85,std,21,3,True,0.006937329000038517
86,std,39,6,True,0.015593701999932819
87,std,2,1,True,0.0015370680000614811
88,std,1000000,0,False,59.241041488000064
89,std,4,3,True,0.0014312749999589869
90,std,2,1,True,0.000683205000086673
91,std,1000000,0,False,57.520118423999975
92,std,3,2,True,0.0009904329999699257
93,std,3,2,True,0.0009524930001134635
94,std,1000000,0,False,76.1707093770001
95,std,1000000,0,False,75.55758726099998
96,std,2,1,True,0.0007966549999309791
97,std,4,3,True,0.0013405700001385412
98,std,5,4,True,0.001709814999912851
99,std,5,3,True,0.0016586320000442356
100,std,6,2,True,0.001954147000105877
