query,std reasoner,std nodes explored,std min depth,success,time
1,std,5,4,True,0.0013025519999994017
2,std,3,2,True,0.0007106199999995511
3,std,78,3,True,0.009821970000000846
4,std,4,3,True,0.0009553890000004728
5,std,4,3,True,0.0008925419999998851
6,std,3,2,True,0.0006839589999998452
7,std,4,3,True,0.0010840620000003298
8,std,4,3,True,0.0008495770000003233
9,std,3,2,True,0.0006552529999996892
10,std,3,2,True,0.0005080269999995224
11,std,2,1,True,0.0003643630000000897
12,std,2,1,True,0.00021770599999992868
13,std,3,2,True,0.0005918070000001663
14,std,102,7,True,0.01765238499999988
15,std,6,5,True,0.0016736249999995678
16,std,3,2,True,0.0003936839999996167
17,std,58,11,True,0.010960067999999268
18,std,3,2,True,0.0005937529999995306
19,std,4,3,True,0.0007390819999999465
20,std,5,4,True,0.0011677089999997392
21,std,4,3,True,0.0009293669999994592
22,std,2,1,True,0.00024506899999998666
23,std,4,3,True,0.0009300489999999328
24,std,3,2,True,5.51920000004813e-05
25,std,3,2,True,0.0004910929999999425
26,std,13,3,True,0.0022469560000004662
27,std,3,2,True,0.00038444099999956904
28,std,8,5,True,0.0024730869999993743
29,std,2,1,True,0.00031860999999988593
30,std,6,5,True,0.002437630999999385
31,std,4,3,True,0.0005873459999996555
32,std,3,2,True,0.0011788049999994499
33,std,3,2,True,0.0008500940000004675
34,std,4,3,True,0.001098389000000033
35,std,5,4,True,0.001107645000000268
36,std,3,2,True,0.0005663540000000467
37,std,5,4,True,0.00154862900000019
38,std,3,2,True,0.0011725959999999702
39,std,2,1,True,0.000409850000000489
40,std,3,2,True,9.112200000060966e-05
41,std,3,2,True,0.0009884309999996788
42,std,7,6,True,0.0024437040000000465
43,std,3,2,True,0.0010848819999997872
44,std,212,2,True,0.1601814140000002
45,std,2,1,True,9.328199999991682e-05
46,std,2,1,True,0.0005229020000001583
47,std,2,1,True,0.00022838399999969283
48,std,1040,4,True,0.1343054290000003
49,std,5,4,True,0.0011348010000000741
50,std,3,2,True,0.0007066430000000068
51,std,2,1,True,0.00022868399999964595
52,std,9,6,True,0.0016557470000000407
53,std,2,1,True,0.00022762800000020178
54,std,69,6,True,0.009382437000000188
55,std,2,1,True,0.0004397660000003967
56,std,3,2,True,0.000663832999999947
57,std,2,1,True,5.019700000019611e-05
58,std,3,2,True,0.000667464000000173
59,std,2,1,True,0.00031237399999994864
60,std,1192,5,True,0.13208508600000002
61,std,4,3,True,0.0009511590000004233
62,std,4,3,True,0.0009183640000003379
63,std,4,3,True,0.00034473600000062277
64,std,4,3,True,0.0003053159999995003
65,std,7,6,True,0.0015912299999998325
66,std,3,2,True,0.0006324940000004275
67,std,3,2,True,0.0006252409999998321
68,std,5,4,True,0.0009553929999999156
69,std,4,3,True,0.0007340080000002303
70,std,27,5,True,0.00372979700000009
71,std,3,2,True,0.0005443700000000717
72,std,3,2,True,0.0006267300000004639
73,std,3,2,True,0.0005259950000002789
74,std,33,7,True,0.006567017999999258
75,std,3,2,True,0.00046403999999977685
76,std,3,2,True,0.0005803499999998962
77,std,3,2,True,0.0005824699999994465
78,std,19040,6,True,0.3145785640000005
79,std,10,6,True,0.0016643949999997076
80,std,2,1,True,4.911500000037705e-05
81,std,4,3,True,0.00034131600000009144
82,std,4,2,True,0.0008257409999998799
83,std,2,1,True,0.0004107389999994382
84,std,2,1,True,0.0002281880000003511
85,std,3,2,True,0.0006317070000001479
86,std,2,1,True,0.00035598600000064096
87,std,2,1,True,0.0004686469999999332
88,std,3,2,True,0.0004748599999997438
89,std,3,2,True,0.000601535000000375
90,std,3,2,True,0.0005361339999998549
91,std,3,2,True,0.000666798000000135
92,std,2,1,True,4.6708000000172945e-05
93,std,98,6,True,0.008684510000000145
94,std,3,2,True,0.000510511999999963
95,std,7,4,True,0.0009580360000001065
96,std,3,2,True,0.0006312380000004225
97,std,3,2,True,0.000632416000000191
98,std,2,1,True,0.00023083299999981932
99,std,4,3,True,0.00024599900000055186
100,std,3,2,True,0.00030490400000005025
