query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,20,15,True,1.4200452740000005
2,ming,3,2,True,0.18957248399999926
3,ming,5,3,True,0.28100299699999987
4,ming,4,3,True,0.1780868809999987
5,ming,4,3,True,0.15730959899999952
6,ming,3,2,True,0.1839832690000005
7,ming,4,3,True,0.02795932699999959
8,ming,4,3,True,0.05018260800000007
9,ming,3,2,True,0.14723967099999946
10,ming,3,2,True,0.021658313000001428
11,ming,2,1,True,0.017005866999999952
12,ming,2,1,True,0.011590813999999838
13,ming,3,2,True,0.1460297500000003
14,ming,11,7,True,1.2189097440000012
15,ming,6,5,True,0.5618733560000013
16,ming,3,2,True,0.012466325000000111
17,ming,99,15,True,1.2389688879999987
18,ming,3,2,True,0.02617570399999991
19,ming,4,3,True,0.033720538000000744
20,ming,5,4,True,0.05545469199999964
21,ming,4,3,True,0.165401911
22,ming,2,1,True,0.09804411900000076
23,ming,4,3,True,0.07882279000000025
24,ming,3,2,True,9.60889999994663e-05
25,ming,3,2,True,0.026762560999999963
26,ming,155,3,True,1.2953713390000008
27,ming,3,2,True,0.01239700700000057
28,ming,1062,5,True,10.172530084
29,ming,2,1,True,0.011076915000000298
30,ming,6,5,True,0.09981670899999884
31,ming,4,3,True,0.009980004999999181
32,ming,3,2,True,0.1869409090000005
33,ming,3,2,True,0.026377262000000457
34,ming,4,3,True,0.025277518999999415
35,ming,5,4,True,0.08805822600000113
36,ming,3,2,True,0.011318577000000829
37,ming,5,4,True,0.076102683000002
38,ming,3,2,True,0.03488430600000214
39,ming,2,1,True,0.10066234800000018
40,ming,3,2,True,0.00010733799999940175
41,ming,3,2,True,0.021286698000000825
42,ming,6,5,True,0.22528572799999935
43,ming,3,2,True,0.03665967699999939
44,ming,4,2,True,0.0041071259999974075
45,ming,2,1,True,6.88470000014263e-05
46,ming,2,1,True,0.15611279899999886
47,ming,2,1,True,0.009792000000000911
48,ming,53109,4,True,15.398477911
49,ming,194,4,True,0.7781078169999986
50,ming,3,2,True,0.0390189620000001
51,ming,2,1,True,0.01179600499999367
52,ming,75,6,True,0.7798937089999995
53,ming,2,1,True,0.011221418999994626
54,ming,7,6,True,0.31432349500000356
55,ming,2,1,True,9.304700000001276e-05
56,ming,3,2,True,0.058617661999996074
57,ming,2,1,True,7.874599999979637e-05
58,ming,3,2,True,0.033887465999995925
59,ming,2,1,True,0.013988408999999535
60,ming,6,5,True,0.9166121220000036
61,ming,4,3,True,0.15672248999999994
62,ming,4,3,True,0.15778485999999958
63,ming,4,3,True,0.009947939999996436
64,ming,4,3,True,0.15860128199999934
65,ming,7,6,True,0.24228392900000273
66,ming,3,2,True,0.14572783599999894
67,ming,3,2,True,0.04437449999999643
68,ming,5,4,True,0.05274579499999987
69,ming,4,3,True,0.034984586000000206
70,ming,9,5,True,0.29553383000000366
71,ming,3,2,True,0.01690136100000217
72,ming,3,2,True,0.14696911899999776
73,ming,3,2,True,0.014794960000003243
74,ming,8,7,True,0.19156259399999698
75,ming,3,2,True,0.025593784000001563
76,ming,3,2,True,0.04452313000000174
77,ming,3,2,True,0.06112077199999533
78,ming,20,15,True,0.6487798680000054
79,ming,7,6,True,0.1331039019999949
80,ming,2,1,True,9.516300000456113e-05
81,ming,4,3,True,0.020823576000005062
82,ming,3,2,True,0.03975500500000351
83,ming,2,1,True,0.1474753970000009
84,ming,2,1,True,0.012749512999995716
85,ming,3,2,True,0.14981337599999733
86,ming,2,1,True,0.01952477399999708
87,ming,2,1,True,0.2070988230000026
88,ming,3,2,True,0.027973348999999814
89,ming,7,2,True,0.04915591099999972
90,ming,3,2,True,0.05821048600000012
91,ming,3,2,True,0.0350704470000025
92,ming,2,1,True,9.368699999612318e-05
93,ming,7,6,True,0.7136141899999942
94,ming,3,2,True,0.03381167399999896
95,ming,275,4,True,0.6056031800000028
96,ming,3,2,True,0.038967106999997725
97,ming,3,2,True,0.1468675970000035
98,ming,2,1,True,0.011163840999998342
99,ming,4,3,True,0.010254882999994663
100,ming,3,2,True,0.05187459000000416
