query,std reasoner,std nodes explored,std min depth,success,time
1,std,5,4,True,0.0015085890000001712
2,std,3,2,True,0.0008175039999995803
3,std,78,3,True,0.011333583999999952
4,std,4,3,True,0.0010229079999994894
5,std,4,3,True,0.0010136669999996073
6,std,3,2,True,0.000769251999999554
7,std,4,3,True,0.001280722999999817
8,std,4,3,True,0.000984040000000519
9,std,3,2,True,0.0007145819999996306
10,std,3,2,True,0.0005509070000000449
11,std,2,1,True,0.0004071999999997189
12,std,2,1,True,0.0002594560000002133
13,std,3,2,True,0.0006662459999997594
14,std,102,7,True,0.02023675700000016
15,std,6,5,True,0.0021860919999996398
16,std,3,2,True,0.0004208500000002502
17,std,58,11,True,0.012870926000000615
18,std,3,2,True,0.0006799449999999041
19,std,4,3,True,0.0008962089999995371
20,std,5,4,True,0.0014553629999998208
21,std,4,3,True,0.0011592980000001418
22,std,2,1,True,0.0003015790000002738
23,std,4,3,True,0.0010653439999996905
24,std,3,2,True,6.431899999981283e-05
25,std,3,2,True,0.000523032999999451
26,std,13,3,True,0.0026844470000000342
27,std,3,2,True,0.0004978480000001895
28,std,8,5,True,0.002362225000000606
29,std,2,1,True,0.0003256929999997382
30,std,6,5,True,0.001809596000000191
31,std,4,3,True,0.00039720200000026296
32,std,3,2,True,0.000758335000000443
33,std,3,2,True,0.0005650249999993306
34,std,4,3,True,0.000751010999999302
35,std,5,4,True,0.000811470999999564
36,std,3,2,True,0.0003763660000002389
37,std,5,4,True,0.0010536440000006309
38,std,3,2,True,0.0007963000000001941
39,std,2,1,True,0.0002917130000001933
40,std,3,2,True,6.830400000001902e-05
41,std,3,2,True,0.000650344999999497
42,std,7,6,True,0.001634496999999513
43,std,3,2,True,0.0007084740000005141
44,std,212,2,True,0.18884986100000045
45,std,2,1,True,6.81049999995409e-05
46,std,2,1,True,0.0005313220000005003
47,std,2,1,True,0.0002538520000001654
48,std,1040,4,True,0.13572022199999978
49,std,5,4,True,0.0011077260000007527
50,std,3,2,True,0.0006866409999997103
51,std,2,1,True,0.0002272250000006082
52,std,9,6,True,0.0015777290000000832
53,std,2,1,True,0.00022953299999972643
54,std,69,6,True,0.009175213999999876
55,std,2,1,True,0.00042673300000029
56,std,3,2,True,0.0006224249999995379
57,std,2,1,True,5.9541999999801476e-05
58,std,3,2,True,0.0006557000000002589
59,std,2,1,True,0.00031831300000018103
60,std,1192,5,True,0.13481843799999993
61,std,4,3,True,0.000950185999999853
62,std,4,3,True,0.0009268499999999236
63,std,4,3,True,0.0003474849999998142
64,std,4,3,True,0.00031884399999970725
65,std,7,6,True,0.0015937600000004437
66,std,3,2,True,0.0006287670000002521
67,std,3,2,True,0.0006303160000005192
68,std,5,4,True,0.0009652750000004318
69,std,4,3,True,0.0007452770000000442
70,std,27,5,True,0.003672100000000178
71,std,3,2,True,0.0005493060000008043
72,std,3,2,True,0.00063836699999964
73,std,3,2,True,0.0005411889999997754
74,std,33,7,True,0.006597090999999722
75,std,3,2,True,0.000481059999999367
76,std,3,2,True,0.0005843370000002679
77,std,3,2,True,0.0005839209999995987
78,std,19040,6,True,0.3237606519999998
79,std,10,6,True,0.0016715240000007014
80,std,2,1,True,5.619200000062108e-05
81,std,4,3,True,0.00034516000000017755
82,std,4,2,True,0.000832279000000824
83,std,2,1,True,0.00041689700000091534
84,std,2,1,True,0.0002358760000014115
85,std,3,2,True,0.0006527369999993482
86,std,2,1,True,0.0003729279999991064
87,std,2,1,True,0.00046928999999984455
88,std,3,2,True,0.00047376999999926284
89,std,3,2,True,0.0006163390000004654
90,std,3,2,True,0.0005557940000002759
91,std,3,2,True,0.0006705759999992011
92,std,2,1,True,5.003699999939215e-05
93,std,98,6,True,0.008891078999999635
94,std,3,2,True,0.0005306770000004235
95,std,7,4,True,0.0009740630000010242
96,std,3,2,True,0.0006449869999993751
97,std,3,2,True,0.0006393229999996919
98,std,2,1,True,0.00023213400000088313
99,std,4,3,True,0.00025775399999972137
100,std,3,2,True,0.0003191690000008407
